metric,system,n,mean,std,median,min,max
market_realism,Auto-Negotiate,100,98.633,10.295,100.0,0.0,100.0
outcome_quality_club,Auto-Negotiate,100,19.867,24.506,0.0,0.0,63.6
outcome_quality_player,Auto-Negotiate,100,43.67,12.898,42.2,2.4,100.0
efficiency,Auto-Negotiate,100,0.035,0.142,0.0,0.0,0.75
compliance_rate,Auto-Negotiate,100,0.734,0.348,1.0,0.0,1.0
concession_rate_club,Auto-Negotiate,100,1755833.36,806021.765,1666667.0,0.0,4666667.0
concession_rate_player,Auto-Negotiate,100,0.0,0.0,0.0,0.0,0.0
concession_rate_club_pct,Auto-Negotiate,100,16.216,10.351,15.0,0.0,100.0
concession_rate_player_pct,Auto-Negotiate,100,0.0,0.0,0.0,0.0,0.0
rounds_used,Auto-Negotiate,100,7.72,1.138,8.0,2.0,8.0
final_salary_eur,Auto-Negotiate,100,16555500.0,7310190.393,14850000.0,8000000.0,60000000.0
judge_market_alignment,Auto-Negotiate,100,9.38,1.674,10.0,0.0,10.0
judge_player_outcome,Auto-Negotiate,100,8.57,0.998,8.0,3.0,10.0
judge_club_outcome,Auto-Negotiate,100,5.67,1.776,6.0,0.0,9.0
judge_contract_structure,Auto-Negotiate,100,5.73,0.973,5.0,2.0,7.0
judge_reasoning_quality,Auto-Negotiate,100,5.05,1.067,5.0,1.0,6.0
judge_overall,Auto-Negotiate,100,6.89,1.136,7.0,1.0,8.0
market_realism,Vanilla,100,97.972,14.069,100.0,0.0,100.0
outcome_quality_club,Vanilla,100,12.407,18.026,0.0,0.0,60.24
outcome_quality_player,Vanilla,100,54.025,17.293,51.595,0.0,100.0
efficiency,Vanilla,100,1.0,0.0,1.0,1.0,1.0
compliance_rate,Vanilla,100,0.735,0.27,0.5,0.0,1.0
concession_rate_club,Vanilla,100,0.0,0.0,0.0,0.0,0.0
concession_rate_player,Vanilla,100,0.0,0.0,0.0,0.0,0.0
concession_rate_club_pct,Vanilla,100,0.0,0.0,0.0,0.0,0.0
concession_rate_player_pct,Vanilla,100,0.0,0.0,0.0,0.0,0.0
rounds_used,Vanilla,100,1.0,0.0,1.0,1.0,1.0
final_salary_eur,Vanilla,100,16252499.99,6978311.912,15000000.0,0.0,41000000.0
judge_market_alignment,Vanilla,100,8.52,2.101,9.0,0.0,10.0
judge_player_outcome,Vanilla,100,8.77,1.699,9.0,0.0,10.0
judge_club_outcome,Vanilla,100,6.13,2.448,7.0,0.0,10.0
judge_contract_structure,Vanilla,100,7.12,1.274,7.0,0.0,9.0
judge_reasoning_quality,Vanilla,100,6.17,1.215,6.0,0.0,9.0
judge_overall,Vanilla,100,7.47,1.453,8.0,0.0,9.0
